日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2020/11/24,,129,,8.7,-83,-2.8,-4150,-140,1,-4150
2020/11/25,125,53,98,0.2,-76,-8.5,-3800,-425,1,-3800
2020/11/26,,186,,29,58,-72,2900,-3600,1,2900
2020/11/27,,208,,17.5,22,-11.5,1100,-575,1,1100
2020/11/30,,97,,44,-111,26.5,-5550,1325,1,-5550
2020/12/1,,196,,3.9,99,-40.1,4950,-2005,1,4950
2020/12/2,127,280,101,0.1,84,-3.8,4200,-190,1,4200
2020/12/3,,123,,72,-7,-32,-350,-1600,1,-350
2020/12/4,,232,,25.5,109,-46.5,5450,-2325,1,5450
2020/12/7,,312,,5.8,80,-19.7,4000,-985,1,4000
2020/12/8,,410,,1,98,-4.8,4900,-240,1,4900
2020/12/9,144,449,97,0.2,39,-0.8,1950,-40,1,1950
2020/12/10,,60,,170,-87,70,-4350,3500,1,-4350
2020/12/11,,41,,154,-19,-16,-950,-800,1,-950
2020/12/14,,16,,163,-25,9,-1250,450,1,-1250
2020/12/15,,1.2,,270,-14.8,107,-740,5350,1,-740
2020/12/16,180,0.1,63,27,-1.1,-243,-55,-12150,1,-55
2020/12/17,,180,,41,-3,-25,-150,-1250,1,-150
2020/12/18,,134,,52,-46,11,-2300,550,1,-2300
2020/12/21,,254,,7.3,120,-44.7,6000,-2235,1,6000
2020/12/22,,55,,75,-199,67.7,-9950,3385,1,-9950
2020/12/23,158,84,83,0.1,29,-74.9,1450,-3745,1,1450
2020/12/24,,220,,29,59,-57,2950,-2850,1,2950
2020/12/25,,261,,13.5,41,-15.5,2050,-775,1,2050
2020/12/28,,387,,4,126,-9.5,6300,-475,1,6300
2020/12/29,,405,,0.8,18,-3.2,900,-160,1,900
2020/12/30,143,540,78,0.3,135,-0.5,6750,-25,1,6750
2020/12/31,,170,,51,24,-30,1200,-1500,1,1200
