交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/1/2,TXO,202401W1,17650,賣權,6,8,1.7,2.7,14317,2.7,11851,1.6,2.7,243,1.7,,一般,-6,-68.97%
2024/1/2,TXO,202401W1,17650,賣權,8.1,17,5.3,11,5876,-,-,10,11,243,5.3,,盤後,2.3,26.44%
2024/1/2,TXO,202401W1,17700,買權,165,242,104,136,4675,136,1845,136,137,242,46,,一般,-73,-34.93%
2024/1/2,TXO,202401W1,17700,買權,216,216,133,169,845,-,-,161,177,237,46,,盤後,-40,-19.14%
2024/1/2,TXO,202401W1,17700,賣權,11.5,15.5,3.1,5.3,23399,5.3,13426,5.2,5.3,312,3.1,,一般,-8.2,-60.74%
2024/1/2,TXO,202401W1,17700,賣權,14.5,29.5,8.5,16.5,8950,-,-,16,17.5,312,8.5,,盤後,3,22.22%
2024/1/2,TXO,202401W1,17750,買權,132,195,68,93,9726,93,2523,93,94,195,20,,一般,-73,-43.98%
2024/1/2,TXO,202401W1,17750,買權,170,172,99,131,1730,-,-,130,138,194,20,,盤後,-35,-21.08%
2024/1/2,TXO,202401W1,17750,賣權,18,29,5.7,11.5,22691,11.5,12744,11.5,12,315,5.7,,一般,-11.5,-50%
2024/1/2,TXO,202401W1,17750,賣權,20.5,46,15,27,9040,-,-,26.5,27.5,315,15,,盤後,4,17.39%
2024/1/2,TXO,202401W1,17800,買權,94,150,40,58,28683,58,8597,57,58,154,27.5,,一般,-69,-54.33%
2024/1/2,TXO,202401W1,17800,買權,131,134,72,98,5618,-,-,97,98,154,27.5,,盤後,-29,-22.83%
2024/1/2,TXO,202401W1,17800,賣權,30.5,52,11.5,26.5,37488,26.5,9465,26,26.5,375,11.5,,一般,-9.5,-26.39%
2024/1/2,TXO,202401W1,17800,賣權,35,70,27.5,35,11030,-,-,35,42,375,27.5,,盤後,-1,-2.78%
2024/1/2,TXO,202401W1,17850,買權,69,110,21,31,37666,31,10614,31,31.5,120,16.5,,一般,-64,-67.37%
2024/1/2,TXO,202401W1,17850,買權,100,105,51,69,7592,-,-,67,69,120,16.5,,盤後,-26,-27.37%
2024/1/2,TXO,202401W1,17850,賣權,50,83,21,51,33092,51,5651,49.5,51,315,21,,一般,-3,-5.56%
2024/1/2,TXO,202401W1,17850,賣權,53,98,44,62,8851,-,-,60,63,315,44,,盤後,8,14.81%
2024/1/2,TXO,202401W1,17900,買權,43,77,10.5,15.5,50053,15.5,14426,15,15.5,90,10.5,,一般,-52.5,-77.21%
2024/1/2,TXO,202401W1,17900,買權,70,73,32,44,13607,-,-,43.5,46.5,90,16,,盤後,-24,-35.29%
2024/1/2,TXO,202401W1,17900,賣權,93,123,37,83,23313,83,4003,83,85,360,37,,一般,7,9.21%
2024/1/2,TXO,202401W1,17900,賣權,75,130,66,89,6902,-,-,89,91,360,66,,盤後,13,17.11%
2024/1/2,TXO,202401W1,17950,買權,25.5,50,4,6.6,34038,6.6,12227,6.1,6.5,65,4,,一般,-40.4,-85.96%
2024/1/2,TXO,202401W1,17950,買權,51,51,21.5,28.5,10073,-,-,28.5,29,65,10.5,,盤後,-18.5,-39.36%
2024/1/2,TXO,202401W1,17950,賣權,119,166,60,126,11325,126,1229,124,127,349,60,,一般,22,21.15%
2024/1/2,TXO,202401W1,17950,賣權,101,168,94,126,2454,-,-,122,132,349,91,,盤後,22,21.15%
2024/1/2,TXO,202401W1,18000,買權,13.5,29,1.5,2.6,47627,2.6,20036,2.5,2.8,46,1.5,,一般,-27.9,-91.48%
2024/1/2,TXO,202401W1,18000,買權,30.5,33,13,17,15629,-,-,17,18,46,6.8,,盤後,-13.5,-44.26%
2024/1/2,TXO,202401W1,18000,賣權,147,211,90,171,7520,171,1066,170,172,525,90,,一般,33,23.91%
2024/1/2,TXO,202401W1,18000,賣權,136,209,126,164,1871,-,-,160,164,525,121,,盤後,26,18.84%
2024/1/2,TXO,202401W1,18050,買權,7.2,15.5,0.8,1.2,21369,1.2,11606,1.2,1.4,31.5,0.8,,一般,-17.3,-93.51%
2024/1/2,TXO,202401W1,18050,買權,19.5,20.5,6.8,9.9,6201,-,-,9.9,10,31.5,4.3,,盤後,-8.6,-46.49%
2024/1/2,TXO,202401W1,18050,賣權,188,257,127,218,863,221,166,219,230,271,127,,一般,42,23.86%
2024/1/2,TXO,202401W1,18050,賣權,173,245,165,205,280,-,-,161,268,271,157,,盤後,29,16.48%
2024/1/2,TXO,202401W1,18100,買權,3.8,7.5,0.5,0.7,17848,0.7,9534,0.6,0.8,22,0.5,,一般,-9.8,-93.33%
2024/1/2,TXO,202401W1,18100,買權,10.5,12,4.6,7.3,6374,-,-,4.8,7.2,22,1.3,,盤後,-3.2,-30.48%
2024/1/2,TXO,202401W1,18100,賣權,237,294,170,267,546,271,268,265,279,309,170,,一般,51,23.61%
2024/1/2,TXO,202401W1,18100,賣權,211,300,207,253,230,-,-,244,253,309,196,,盤後,37,17.13%
2024/1/2,TXO,202401W1,18150,買權,2,3.6,0.4,0.5,7942,0.5,6395,0.4,0.6,14.5,0.4,,一般,-5.6,-91.80%
2024/1/2,TXO,202401W1,18150,買權,6.7,6.7,2.7,3.7,2803,-,-,2.7,3.7,14.5,2,,盤後,-2.4,-39.34%
2024/1/2,TXO,202401W1,18150,賣權,242,305,219,305,22,320,22,310,329,473,219,,一般,45,17.31%
2024/1/2,TXO,202401W1,18150,賣權,473,473,473,473,1,-,-,89,473,473,250,,盤後,213,81.92%
2024/1/2,TXO,202401W1,18200,買權,2.5,2.5,0.3,0.5,2763,0.5,5040,0.4,0.5,9.3,0.3,,一般,-3.4,-87.18%
2024/1/2,TXO,202401W1,18200,買權,3.7,4,1.1,2.4,1074,-,-,2.1,2.4,9.3,1.1,,盤後,-1.5,-38.46%
2024/1/2,TXO,202401W1,18200,賣權,336,405,320,405,119,370,83,360,379,470,285,,一般,95,30.65%
2024/1/2,TXO,202401W1,18200,賣權,312,350,312,350,7,-,-,320,-,470,285,,盤後,40,12.90%
2024/1/2,TXO,202401W1,18250,買權,0.5,1.1,0.2,0.2,1510,0.4,3363,-,0.4,6,0.2,,一般,-1.8,-90%
2024/1/2,TXO,202401W1,18250,買權,2.4,2.4,0.5,1.7,334,-,-,1,1.8,6,0.5,,盤後,-0.3,-15%
2024/1/2,TXO,202401W1,18250,賣權,329,450,329,450,2,420,28,409,429,500,329,,一般,90,25%
2024/1/2,TXO,202401W1,18250,賣權,360,360,360,360,5,-,-,260,555,500,360,,盤後,0,0.00%
2024/1/2,TXO,202401W1,18300,買權,0.2,0.7,0.2,0.2,941,0.3,2987,0.2,0.3,4.9,0.2,,一般,-1.4,-87.50%
2024/1/2,TXO,202401W1,18300,買權,1.4,1.6,0.7,1.6,290,-,-,0.8,1.5,4.9,0.2,,盤後,0,0.00%
2024/1/2,TXO,202401W1,18300,賣權,379,379,379,379,1,470,1,459,479,379,379,,一般,-31,-7.56%
2024/1/2,TXO,202401W1,18300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18350,買權,0.6,0.6,0.1,0.1,108,0.3,1212,0.1,0.4,2.1,0.1,,一般,-1,-90.91%
2024/1/2,TXO,202401W1,18350,買權,1.1,1.2,0.4,0.4,9,-,-,0.3,0.9,2.1,0.4,,盤後,-0.7,-63.64%
2024/1/2,TXO,202401W1,18350,賣權,-,-,-,-,0,520,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18350,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18400,買權,0.4,0.4,0.1,0.2,989,0.2,1983,-,0.4,3.6,0.1,,一般,-0.6,-75%
2024/1/2,TXO,202401W1,18400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18400,賣權,-,-,-,-,0,570,1,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18450,買權,-,-,-,-,0,0.2,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18450,賣權,-,-,-,-,0,620,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18500,買權,0.6,0.6,0.2,0.2,3,0.2,396,0.1,0.2,2.2,0.2,,一般,-0.2,-50%
2024/1/2,TXO,202401W1,18500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18500,賣權,-,-,-,-,0,670,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18500,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18600,買權,0.2,0.2,0.2,0.2,155,0.2,139,-,0.8,2.1,0.1,,一般,-0.2,-50%
2024/1/2,TXO,202401W1,18600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18600,賣權,-,-,-,-,0,770,1,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18700,買權,-,-,-,-,0,0.2,35,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18700,賣權,-,-,-,-,0,870,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18700,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18800,買權,-,-,-,-,0,0.2,56,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18800,買權,12,12,0.1,0.1,10,-,-,-,11,12,0.1,,盤後,0,-
2024/1/2,TXO,202401W1,18800,賣權,-,-,-,-,0,970,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,18900,買權,-,-,-,-,0,0.2,2,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18900,買權,8.8,8.8,0.1,0.1,20,-,-,-,8,8.8,0.1,,盤後,0,-
2024/1/2,TXO,202401W1,18900,賣權,-,-,-,-,0,1070,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,18900,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19000,買權,-,-,-,-,0,0.2,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
